title,transcript,likes,comments,views,duration_sec,total_claims,false_claims,label
"My Child Has ADHD, What Can We Do?",hey everyone I'm going to show you a research article on ADHD in in its relation to neural inflammation and oxidative stress and I'm going to give you some tips on things that you can do to help your kid decrease that stress on their body so what we end up finding in kids that have ADHD is a lot of times their brain is inflamed and they have a lot of what's called oxidative stress or simply meaning that they can't detoxify efficiently enough they're they're getting a buildup of waste products and they're getting a lot of oxidants which creates a lot of more inflammation top three things that can play into this is lack of appropriate antioxidants in their body or not enough antioxidants to help combat that autoimmunity is another really big one and then mitochondrial dysfunction which I'm going to go into more detail in a longer video on YouTube but I want to give you a few things that you can do to help with this so use of dietary and natural components to help against oxid stress and neural inflammation and ADHD best things that we can start doing is taking a high amount of omega-3 fatty acids especially DHA and EPA which are mainly found in fish oils an acetylcysteine is a precursor for antioxid or for the antioxidant glutathione so Antoine's great sulphoraphane is found in um broccoli Sprouts cauliflower great for anti-inflammatory and then as many flavonoids as you can get that means eating a lot of different colors and fruits and vegetables those are great ways to get a ton of antioxidants and help decrease that inflammatory load,291,12,5584,83,8,7,4
Combating procrastination for people with ADHD,if you've got ADHD your internal clock is going to be impaired but your sensory sensitivity is going to be higher so we're going to have to rely on external trackers of time to help us out calendars reminders I use alarms all the time like even when I'm like procrastinating I'll use an alarm so I have a 20- minute timer set on my phone that's my procrastination timer if I want to play like you know a video game for 20 more minutes like I'm let's say I'm playing Elder ring so I'll literally what I'll do is like I'll set a 20-minute timer and I'll be like okay I should start working now but I'm going to set a 20-minute timer and then 20 minutes rolls around I'm like okay like that's enough like I cuz really think about it when you're like procrastinating you don't want to start work but when you really look back there's been my experience when you look back at the 20 minutes that you wasted you're like was this really worth it to waste this time and the answer is always no the problem is that you don't have that step because you don't have that external anchor that's pulling you in and like actually helping you realize what the hell you're doing so we want to create an external scaffold of reminders timers calendars Etc,16794,222,192111,60,3,0,1
ARE YOU TAKING YOUR ADHD MEDICATIONS WRONG?! Pharmacist reviews Proteins role in ADHD #adhd,"fun fact that not enough people know if you take ADHD medication and you crash really hard at the end of the day or you just want to go right back to sleep after you take it, it's probably because you're not eating enough protein because protein is what activates your ADHD medication and you need to be eating protein all throughout the day in order to keep your focus and your energy up that you should be getting from your meds. >> So, I know a lot of you are not going to like this answer and probably come at me, but protein is not actually like activating your ADHD medication. So stimulants work by directly increasing dopamine and norepinephrine activity in our brain. But they don't need protein as fuel to activate them. Let me just give you an analogy. Think of the medication like turning on a light switch. The electricity is already wired in. So you don't have to eat protein to power the house. What protein can do is help stabilize your blood sugar. Because if you take your stimulant on an empty stomach and your blood sugar later drops, you can feel that like tired, shaky, foggy feeling. And that's simply just your body running low on energy. But if you are truly getting sleepy while on a stimulant, I could point more on like when you're taking it, the dose that you're",6593,270,97053,63,3,0,1
⏰ ADHD & Time Blindness: The 3x10 Rule That Actually Helps,"So there are three big problems that those of us with ADHD and executive function challenges have when it comes to managing time. With the ADHD brain one of the three problems with managing time is called time blindness, we tend to be very unrealistic about time and that can get us into a lot of trouble. Number two is because of this time blindness and because of just challenges with time managment and the ADHD brain being late and often what comes with being late is being unprepared and that leads to number three a lot of us with ADHD brains and executive function challenges tend to be poor at planning, poor at forethought right",114,3,7077,37,5,1,1
What if You're Gifted and You Have ADHD? #shorts #adhd,sometimes people think if you're smart you can't have ADHD nope in fact you can actually be gifted and have ADHD there's a term for this it's called twice exceptional twice exceptional is a term used to mean that somebody is outside the norm in two ways they are gifted and they have a disability so if you have ADHD and you're also a gifted student you're twice exceptional this can be harder to recognize the giftedness can mask the disability and vice versa and sometimes we end up looking like a normal student because sometimes we're really great and sometimes we struggle they can seem to cancel each other out but really we need support for both material that's challenging enough for our brains and the support for the impairments that we have,15892,584,206472,36,3,0,1
How To Beat ADHD,"One of the parts of your brain, if you have ADHD, that does work even better than a neurotypical person is your sensory input. This is what makes us highly distractable. We get so distracted by sensory stimuli. The sensory parts of our brain are hyper sensitive. So instead of an internal biological clock subconsciously measuring things, if we have data written out and we see it with our eyes, that will affect our brain in a more profound way. And now you ask, why is that? That's because our internal sensors are impaired. We're so much more sensitive to things from the outside because our internal biological clock doesn't work. That's a closer example of like a minus two over here, a plus two over here. The problem is that in most cases, this plus two of sensory sensitivity creates problems. Okay? So, time blindness is a huge huge huge thing. And the most important way to do that is to externalize your clocks and pay attention to them. Write things out, measure things to really figure out how long things take. And it's really cool because when I do this with patients, their natural ability to be able to estimate how long tasks take and complete them just goes up. Once you feed that information to your brain, then your brain is able to calculate. It's no longer a question mark. And so things just get",8780,126,142635,68,5,3,3
Can Supplements Help ADHD?,so remember the top supplements for ADHD are going to be an omega-3 fatty acid a b complex vitamin magnesium vitamin D in herbs and mushrooms like ginkgo biloba and lion's mane those are going to be the most effective for being able to focus in you might even be able to find some of those in a combination nootropic formula which could have loads of benefits but remember going back to this again you want to have a diet that's low glycemic low sugar lots of meat lots of vegetables some berries a lot of healthy fat like coconut olive oil and even nut Butters are okay okay but lots of healthy fats lots of protein lots of fiber that's what kids should be eating with ADHD,922,19,17536,43,5,4,3
How Meditation Helps With ADHD,if you've got ADHD force yourself to focus on one thing you will fail but then bring yourself back to it bring yourself back to it bring yourself back to it and the real thing that happens with ADHD is not strengthening your ability to focus on one thing what actually gets strengthened is your ability to return from a distraction to your task so right now what happens with ADHD this is the tricky thing when you get distracted what is the cost once you open up Tik Tok or YouTube shorts or Instagram reels or whatever 4 5 minutes disappear before you come back to your task when you meditate and as you become an expert meditator you you may get distracted the same amount the difference is that within 5 Seconds you'll return think about that imagine if a distraction did not cost you as much this is how meditation improves ADHD it doesn't actually change the attentional it does change the attentional fundamentals but even without changing the attentional fundamentals it reduces the price you pay for having ADHD that's the real strategy,22574,232,242998,60,4,2,3
3 Natural Remedies for ADHD to Try in 2024,do you have a child with ADHD do you want 2024 to be better than 2023 want more peace less hyperactivity less Defiance and more joy then give these three tips a try change your child's diet cut out highly inflammatory foods like gluten dairy soy artificial flavors and colors and excessive amounts of sugar focus on whole fruits and veggies grass-fed wild C proteins and healthy fats tip two prioritize exercise physical activity is critical for children with ADHD it can improve focus mood and even sleep quality and finally tip three focus on sleep sleep affects many areas of Our Lives including ADHD symptoms need support with these reach out today,327,21,12376,50,4,1,2
How to motivate a teenager with ADHD | Experts answer,"How can you motivate a teenager with ADHD? Okay, so if you have a teenager, especially teenager with ADHD that's not being fully treated, you may have a teenager that doesn't feel very good about themselves. The first thing you need to do is validate, validate, validate. Validate how they're feeling and sort of meet them where they are. Help them to understand that there is a pathway to getting better. So you can't send a teenager to high school without the proper treatment and expect them to flourish and feel good about themselves. However, teenagers really don't love to hear their parents or their therapist talk, talk, talk. With teenagers you've got to meet them where they are. So you have to figure out what they care about. Do they care about their grades getting better? Do they care about having more plans on Saturday night? Do they care about their parents not yelling at them for making their room a mess? Whatever it is they care about, that's your hook. And then from there you need concrete goals. Not just raw, raw, raw. It needs to be we're going to make your grades a little bit better. You're going to start making plans. Whatever it is, if they're on board with you, you've got them there. And that's the way to motivate them. And that's the way you're going to see change.",579,24,17399,56,4,1,2
Avoid These 3 Foods If You Have ADHD,if you have ADHD here are three foods that you should absolutely avoid number one sugar especially refined sugar or added sugar if the label says added sugar or cane sugar or anything like that get it out of your pantry number two artificial dieses artificial dies have been shown in study after study to worsen symptoms of ADHD and number three processed food my rule of thumb in our house is if I read the label and I can't pronounce what's in it it's out,2513,89,68256,29,3,2,3
5 Serious Risks of Untreated ADHD,"ADHD isn't just distractability. When it goes unressed, it carries real but preventable risks. Number one is mental health complications. Depression, anxiety, oppositional behavior, conduct problems, and substance use all become more common when ADHD isn't treated. Number two is safety and self harm. Teens and adults face higher risks of suicidal behavior, physical aggression, and involvement with the justice system. Number three is risky decisions. Untreated ADHD is linked to disruptive and mood issues, plus higher rates of dangerous driving, impulsive sexual activity, and other high-risisk behaviors. Number four is physical health. Accidental injuries and trauma go up and so does premature mortality largely from preventable accidents. And number five is school, work, and money. There's more academic underachievement, lower high school and college completion, and more job instability and unemployment. The good news is that ADHD is highly treatable. When you combine structure, sleep, nutrition, lab work, and when appropriate, medication or supplements, outcomes can improve dramatically. And if you're looking for support, tools, and strategies to help manage ADHD naturally, my online ADHD course and community is now open. Click the link below to learn",359,22,8091,85,7,1,1
Understanding ADHD Impulsivity: Regain Control of Your Life,do you ever feel like you have no control over your life emotions or things you say a really common struggle for adhders is impulsivity that means interrupting people saying things you immediately regret having chaotic spending habits or struggling with bad habits and addictions without treatment impulsivity can lead to negative consequences like losing a job getting expelled from school or breaking up because it's impulsive it doesn't feel like a choice is made but nobody else knows that ADHD brains don't automatically pause before acting so you have to learn how the first step is becoming familiar with how your brain works the more you understand it the more you can regain control and turn impulsive acts into thoughtful decisions best of all this approach helps other symptoms like emotion regulation learn what your brain does differently and you can learn how to do the things your brain wasn't wired for while keeping the strengths ADHD gives you,24690,262,234125,56,4,0,1
ADHD in Hindi Childhood Symptoms Hyperactivity impulsivity inattention Treatment #shots,आंखें टेस्टी अटेंशन डिफिसिट हाइपरएक्टिविटी डिसऑर्डर जैसा कि आप नाम ही समझ सकते हैं इसमें रिटेंशन की बात की गई है और हाइपर एक्टिविटी की तो बच्चों चलिए टेंशन होती है ज्ञान की कमी होती है 10 मिनट तक उनका दिमाग से उतर जाने से बाहर देखने लगते हैं उनकी बहुत ही इफेक्टिव सब्सक्राइब की एक्टिविटी में बहुत ज्यादा बातें करने की चंचलता घ्र चाहिए और देखना चाहिए ट्रीटमेंट की बात करें तो इसमें काफी बड़ा रोल होता है इसके अलावा इसमें को सब्सक्राइब करें थैंक,9518,145,263797,59,3,1,2
How to Overcome Executive Dysfunction with ADHD #adhd #executivedysfunction #bodybuilding,what exactly is executive dysfunction and why is it such a big barrier for people with ADHD Dr Roso Brockley has said that ADHD is not an attention deficit problem is an intention deficit problem a common example is all of us can imagine and remember times when we've stay focused for hours on things that we probably shouldn't be focusing on we never had trouble focusing on playing a video game or watching a really exciting TV show but somehow we can't direct our brain to use the same attention resources on maybe some like homework that we have to do or some project that has a deadline coming up until it's too late really what the executive dysfunction is describing is our brain's ability to properly direct before it's too late what's worse about it is that those of us with ADHD uh can also have more trouble regulating our emotions if someone rejects you or you reject yourself you feel an even more overwhelming sense of grief and sadness the most important thing to overcome executive dysfunction is to somehow snap yourself out of that vicious cycle manage that potential for your emotions to spiral out of control and the key is to just take the tiniest of steps so instead of thinking that you have to complete this paper think that you are going to open the empty Word document and that you are going to reread the prompt or the project description and every time you take these Tiny Steps actually give yourself a check box on the to-do list to give yourself the recognition that you are making forward progress no matter how small they are and that is the most effective way to get out of your spiral and to direct your brain more intentionally and overcome the dysfunction and in flow club we make that easy we encourage everyone to break their tasks down the smallest of steps and we set up our norms and our feature set so that we encourage and celebrate you moving forward every step,731,24,14896,130,5,2,2
The BEST executive function hack for ADHD,"I just found the best executive function hack and I wanted to share it. Ready? Stop trying to executive function like a neurotypical person. Your ADHD brain is wired differently and it is possibly unable to executive function like a neurotypical person. And by the way, that's completely okay. The sooner we stop putting all the energy into trying to executive function like a neurotypical person, use that energy to creatively solve the problems we need to solve to get from A to B, the sooner we get to go do the things that light us up. And the world is a better place when women with ADHD are doing the things that light them up. So get going. You got this.",951,80,31082,36,2,0,1
Rejection Sensitive Dysphoria Explained #adhd #adhdbrain #neurodiversity,"Why are people with ADHD so sensitive to rejection? Let me explain. This balloon wrapped in duct tape represents a neurotypical person, and this bit of cardboard with a nail attached to it represents a rejection. When the neurotypical person encounters a rejection, it hurts, but the neurotypical person doesn't explode. This balloon represents an ADHD person. It's bright and fun to be around, but because it was exposed to 10,000 more negative messages when it was a child and has always felt a bit different because of that, it's a lot more exposed and therefore more likely to react defensively. So, when the ADHD person encounters the same rejection, it explodes. This often presents as rage, but it can present as an internalized overwhelming feeling of sadness. And the rejection doesn't have to be a big one. Sometimes the tiniest of rejections, like a friend saying they're too busy to see you, can have the same effect.",6943,197,100856,53,4,3,3
Links between ADHD and pain #ChronicPain #Pain #ADHD #ADHDAwareness,"I don't know if like many people would immediately see a strong link between ADHD and pain, but actually we know that people with ADHD are much more likely to experience pain. There's some kind of biological elements to it. So, one possible explanation is that people with ADHD and people with chronic pain both have higher levels of inflammation within the nervous system. So, that might be a common factor between the two. And your nervous system is the thing that kind of regulates pain. Yeah, exactly. In ADHD, the brain is kind of telling the muscles to maintain a kind of persistently high muscle tone, which means that the muscles get kind of fatigued and uh uncomfortable and and painful. And actually, some people have proposed that this might partly explain the physical restlessness of ADHD. Essentially, people are feeling ready to go all the time. There's also kind of psychological components to it as well because how we experience pain is very much related to attention. And for people with ADHD, they might have more difficulties with disengaging their attention from pain. There's also evidence actually that people with ADHD have greater pain sensitivity. So they're actually feeling the pain to a greater extent. Why is that? We don't really know. It might be to do with the with the attention. Like it might be more difficult to disengage your attention from the pain. So you're experiencing it like your subjective experience of it is greater. It might be to do with greater sensitivity to do with the inflammation that we're talking about. I think all of these things are kind of like connected and kind of all play a role.",283,16,4915,90,5,3,3
Side Effects of Stimulant Medication Can Worsen ADHD.,real evidence for Adderall and other stimulant-based medications ready question is why are these things working I mean there's times I feel like it's just like cocaine in a pill form right like these are amphetamines these are hard medications they can have side effects it can start to affect your sleep um and especially when you're talking about ADHD that's one of the things that concerns me a lot with stimulant use sometimes if that the medication effects of the medication is lingering around is something that's going to keep you awake at night and compromised sleep can lead to symptoms of ADHD it can even cause irritability anxiety depression a whole host of issues psychiatrically,667,81,56789,35,3,1,2
5 ADHD Hacks for Teens That Actually Work | Executive Function Tips I ADHD Kids and Parenting,"Whether you have ADHD or struggle with executive functioning, we all know that just focus isn't a real plan. Here are five hacks that actually work. Hack one, the one song clean. I tell myself to clean for just one song. That's it. Once I start, I usually keep going, but if not, one song is still progress. Hack two, use a visual timer. If I can't see time, I forget it exists. I use a timer so I don't drift into the void. Hack three, alarms with labels. My phone alarms have names like start homework or leave in 10. Hack four, brain dump first. Before I start anything, I do a brain dump. Just a scribble of all my thoughts onto a journal. It clears the mental clutter. Hack five, the next smallest step. Instead of write the whole essay, I just ask what's the next tiniest step, like open my laptop. These don't fix everything, but they help my brain work with me instead of against me.",456,16,10063,54,5,0,1
"Do This Instead of Saying ""Pay Attention"" | Helping Kids With #ADHD Focus",for a kid who has ADHD focusing their attention can be genuinely tough to do they're not trying to not pay attention their brains are just busy so making direct eye contact for kids who are comfortable with that and using some kind of physical touch if it's appropriate for the relationship and setting can help better grab their attention like putting your hand on their shoulder during an instruction or in the classroom instead of saying something to the entire class the teacher can give a direct onetoone instruction to make it easier for them like next please write your name also directions that are a little more specific with a reminder of the actual task work best like eyes on me or please write the next sentence or put your code on the hook so instead of pay attention which is harder for them to understand just tell them exactly what to do,375,4,8348,54,7,0,1
Can You Have ADHD & OCD? Here's What Helps (From A Psychiatrist),"So, can I have ADHD and OCD at the same time? All the time. I see it particularly in children and grandchildren of alcoholics. What we see in the brain is the middle front part of the brain works too hard. And an area called the inferior orbital prefrontal cortex doesn't work hard enough. So, it's like you have low levels of both serotonin and dopamine. And early in my career, I'd use a combination of Prozac and rolin. Miraculous for some patients. Now, I'll use more supplement options like 5HTP and rodeiola ashwagandha gensing and just to help balance the brain happens all the time.",975,39,27111,53,4,3,3
The Best Career Path if You Have ADHD,"So, for many people with ADHD, the best career is actually not one 50-year career. It's 10 five-year careers or five 10-year careers. And part of it is the whole work world has become more fragmented, and we're accepting more that many career trajectories are going to look not like just one beautiful arc. But I think there's a sort of a normo-centric bias to that is what you should strive for, and if you are changing careers, that's a bad thing. And yet lots of people who do worthwhile things in life, and often because of their more varied experience are bringing more to what they're doing. So I think we need to value that and embrace that as an option and accept that maybe for some people that is an optimal career path.",5793,149,183884,50,1,1,
Adderall vs. Meth: The Truth About ADHD Medication,"That is so nuts that people take meth. Why would you do that? And yet, what percentage of kids today are on aderall, >> which is the exact same thing, just a slow release, a delayed release meth? >> Absolutely wrong. It is not the exact same thing. Meth and Aderall are not the exact same thing. So, let's break this down. Although stimulants like aderall and vience and the street drug methamphetamine share some chemical similarities, the compounds are not the same. Okay. Prescription ADHD medications are carefully formulated, FDA approved, and taken in controlled doses to treat specific neurological symptoms. In contrast, meth is often illicitly manufactured, far more potent, rapidly absorbed by the brain, and highly addictive.",215,72,9663,60,4,0,1
ADHD symptoms and when to seek treatment,"So the cardinal symptoms of ADHD are inattention, so trouble focusing, paying attention, hyperactivity, so moving around a lot, being really restless, and impulsivity, so doing things without thinking, like blurting out answers, and interrupting, things like that. Many people experience ADHD symptoms. Many of us have trouble paying attention, hyperactivity, being impulsive. But really, it's how severe these symptoms are, how much more relative to people our age and whether or not they're causing clinical impairments. So, is it disrupting aspects of our lives? And the symptoms should be present across multiple settings. So, not just in the home, but at school and in other settings. ADHD tends to be a lifelong disorder, but symptoms do tend to change over time. So as children with ADHD get older, their inattention symptoms tend to remain, but we see the hyperactivity tend to decrease or improve.",65,3,9784,65,3,0,1
Easy Natural Treatments for A.D.D. and A.D.H.D,treatment for ADD and inattentive add is the same as classic very similar even though it's not identified until later the treatments are the same for almost all of these add I like identifying each add so you can see what it is but you're not going to see much variation in the treatment because they're also similar intense aerobic exercise I like to do Jiu Jitsu that's me right there in the the blue ghee the blue uniform um limit video games and T TV especially the the violent and the aggressive ones for somebody who has ADD inattentive add l-tyrosine again helps with the neurotransmitters fish oil where have we heard that before high protein low carb diet,128,3,4028,49,6,4,3
How do #periods impact #ADHD symptoms? #pms,"I'm going to explain how your periods impact ADHD symptoms in less than 30 seconds. So, strap in. Two hormones you need to care about here, estrogen and dopamine. Estrogen increases the amount of dopamine made and decreases its breakdown. Dopamine helps you regulate attention and manage motivation. The week before your period, your estrogen levels drop. Less estrogen equals less dopamine equals more problems.",2188,64,61529,29,3,0,1
ADHD Executive Dysfunction explained in 1 minute and simple tips to overcome indecision fatigue,"Does your brain look at a to-do list with three very different items but tell you that they all weigh the same? This is a classic example of executive dysfunction. The neurotypical brain will tell you that all of these things weigh very different amounts and that will tell you get it out of the way first. But the ADHD brain does not do that. We have trouble waiting different things. I'm a doctor and I have ADHD. These are my top three ways that I overcame this kind of lack of capacity to make decisions. The first thing you can do is try a really simple coin flip. Heads or tails. The two tasks to pick. One is heads, the other one is tails. You know in your brain that it's not the right decision to make. You're going to pick the other one anyway. It's an intuitive process, but this takes you out of your trying to make decisions in your overwhelmed mind and puts you into that ability to be like, ""Okay, that was not the right answer."" Next one, lay out a deck of cards. Assign a number to each of these things. Whatever you pick out of the card deck, that's the one that you do first. The last thing I do is plug these into chat GPT and have it tell me which one is the most important. If you want more information about all the things that you can do to help your ADHD brain, check out the link in my bio. I have a school program that you can sign up for.",208,6,3957,65,4,3,3
Being Diagnosed With ADHD As An Adult #adhd #mentalhealth #adultadhd,"When were you diagnosed? >> I was diagnosed when I was 43. Typically what happens, kids get diagnosed and then through that process, the parent kind of goes, ""Wait, now little junior is exactly like I was, right? Myself and my daughter, we did it the other way around. I actually got my diagnosis first and then we kind of went, hey, she's just like me."" >> So, what made you seek a diagnosis? I I had always experienced, you know, what I know now are pretty common, I guess, feelings that that are associated with ADHD. But really the breaking point was when I I received a promotion into management. By all accounts, you know, my life had been pretty good. You know, things were going great outwardly. Inwardly, there was a tremendous amount of anxiety, even mild depression. That led me to just see a counselor, just see a therapist. Well, I remember telling her, ""But I can't have ADHD because I hold down a job and I have a house and I have a family."" And she goes, ""Yeah, but how hard is it?"" I went, ""It's tough. It's tough. You know, it feels like I'm walking through 3 ft of water most of the",1530,97,31750,61,2,0,1
ADHD medication pros and cons,"I don't take medication for my ADHD, but a lot of people do like that option. Now, I have worked with a lot of people and some people say that ADHD medication has changed their life and other people say that it gave them horrendous anxiety. ADHD medication is not for everyone, but it is for some people. I personally think that people should also do the work and they should learn strategies that help them regulate their emotions and navigate all of the symptoms that go with ADHD as well. But often people do need the medication to get them started and to make things easier first. And I would say if you're going to take medication, please also learn strategies and please also get help with that side of things in whatever shape or form you can actually receive support with the symptoms of ADHD. Now, if you are considering medication for ADHD, we have 10 psychiatrists at my company, Private Therapy Clinic, who can give you very valuable information and can guide you and they can help you know when is it not a good idea to take medication or when is it a good idea to stop medication where you've tried it for a short period of time and the side effects are just not very good. And there's three different types of medication. There is stimulant, non-stimulant and slowrelease stimulant. If you are interested in exploring these options, either medication or ADHD coaching, feel free to get in touch. We can have chat with you and we can let you know the options.",86,13,4324,100,4,1,2
Elimination Diets for ADHD Treatment,"I've heard a lot about elimination diets, [music] removing things like artificial dyes, preservatives, sweeteners, and certain foods. Can you tell me if there's any evidence about using [music] these for children with ADHD? >> There are a lot of elimination diets for ADHD, the fine gold diet being one example, but some are even more restrictive. [music] Research shows that only a small subset of children with ADHD experience [music] improvement on these diets. But if hyperactivity and inattention are improved in [music] 10% of kids when you remove dyes, why not just try it? >> You might, but consider the downsides. Restrictive diets can increase stress around food, worsen picky eating, or lead to nutritional deficiencies if not properly supervised. They can also be difficult to maintain and socially isolating for children. So, what I'm hearing is elimination diets are not a replacement for proven ADHD treatments like behavioral therapies or medication, but in select cases, they may be considered under the guidance of a healthcare provider. >> Yes, ADHD care works best when it's individualized and discussed with all members of your child's treatment team. If you think this information might be helpful for your child, please discuss with your provider before starting an elimination diet.",5,0,482,78,4,0,1
Natural Recommendations For Kids With ADHD,"So stimulants like rolin or aderall are the number one prescribed treatments for kids who have ADHD. It is never number one in my mind. Now I'm not opposed to medicine. I just it's not the first thing I think of. The first thing I think of is what's their diet like? There's a study from Holland that was replicated that showed when you k put kids on an elimination diet. They got rid of gluten, dairy, corn, soy, artificial dyes, and sweeteners, 70% did not have ADD after 3 months. Diet is so important. There's another study with phospatidal searing showing that it can be uh effective. Another study with picnogginal uh marine pine bark uh shown that that can be helpful. You also want to make sure you check their feritin levels. Feritin is a measure of iron storage because low iron. Low feritin levels have been associated with ADD and just giving them feritin sometimes can make a huge positive difference.",1207,32,24795,78,6,4,3
Long-term use of amphetamines and stimulants can cause side effects.,amphetamines like Aderall they are stimulants similar to cocaine similar to caffeine and so when you are on a drug that's a constant stimulant it's going to increase the activity of certain organ systems which over time can be an issue there are going to be side effects and it's important to remember you cannot take a synthetic chemical for long term without there being some sort of side effect within the body even if we don't have a long-term study which that's one of the issues by the way there aren't a lot of long-term studies on the side effects of ADHD medications so prolonged use or short-term high dose usage can result in deterioration of your cognitive or physical abilities damage to the nerve cells,1890,221,117148,49,6,3,3
5 Ways To Reduce Hyperactivity,"Five ways to reduce hyperactivity. Hyperactivity is purposeless movement of a child which is very common in autism spectrum disorder. First is make a fixed routine of a child. Second is reduce the calorie intake by low calorie diet like low carbohydrate diet, no chocolates or fast food. Third is nutritional supplementation by vitamin B6 and B12. Fourth is increase physical activity by dancing, swimming, running, cycling and fifth is slow music like bird or river sound.",2645,22,236151,37,6,4,3
ADHD Meds: Stimulant vs. Non-Stimulant – How Doctors Decide What’s Safe,"So when we think about medications we usually think about stimulants and non-stimulants. So um certainly you know having a prior you know medical evaluation or p certainly for you know adults and children at least as a psychiatrist knowing if people have any sort of underlying medical problems usually is a good idea. For example cardiovascular health having things like poorly controlled hypertension high blood pressure can put people at risk for things like heart attack and stroke. We understand that stimulants may have a mild to moderate mild to moderate, you know, risk of increasing blood pressure. Um, so I essentially want to make sure that somebody may have, you know, if they have any sort of concerns with cardiovascular health that at least it's being addressed and it's being targeted by a, you know, an internist, for example, family medicine physician or a cardiologist. Absolutely. So step one, you have your stimulant medications, you have your non-stimulant medications. When evaluating a patient for use of stimulant medications, like Pat is saying, the first thing is first you have to make sure that it's",20,1,2499,67,4,0,1
HSP & ADHD #adhd #highlysensitiveperson #healing,"If you are highly sensitive, you may also have ADHD. I've been talking on this for years now, but I'm going to break it down. Highly sensitive people are not mirrored by society or their family most of the time. It's a rare thing. It's becoming more prominent because people are figuring things out. But when you're born that way and you feel different than your family system and you feel different than the world and you think differently and you have a different consciousness, you're going to feel like you don't belong. You're going to have some emotional wounds. I say that a lot of HSPs, highly sensitive people have ADHD because I've seen that in the last 13 years of my work and in myself also a lot of people who are highly sensitive have a lot of wounds which equal trauma which can also be ADHD as a trauma response or ADHD as someone who has multi-dimensional learning in a system that only honors one way. So check it out. When I was younger and diagnosed, I it was so stigmatized. I thought it was such a negative thing, yet I knew inside there was something very positive about it because I was tuning into things that nobody else really could understand. It took me many years to find the clear language to explain things in my way to help others understand things that I was experiencing. But many of you who are coming to me now and say, &quot;I don't know if I'm HSP or ADHD.&quot; I say, &quot;Who cares? You're a highly sensitive soul in a society that was not built for you. Period.&quot; So instead of seeing this as a negative thing or seeing this as a disorder, dysfunction or something working against you because you're so sensitive to everything, we need to really start to heal those wounds and empower ourselves to see that we are the leaders of the new authentic era that is happening here. When we start to empower these sensitivities, for me, my ADHD symptoms disappeared when I went to college because I started doing things my own way and I learned how to have an environment that fed me instead of starved me. So really my work is helping you to not only empower your gifts and heal your wounds which go together but to really step into the purpose you were born to lead because you were born perfect for your purpose. Society wasn't perfect for you. So we are here to create a new one. If you're with me, let me know in the comments.",628,74,5842,130,10,9,4
TREATING ADHD with Innovative Therapy AT HOME (Dr. Richard Abbey) #shorts,breaking news everybody did you know you can actually remediate your child's difficulty and help them overcome their problem without external forces you can actually image their brain and see what's going on and all they got to do is watch like a movie because you have a brain computer interface to exercise their brain we've worked with thousands of clients and they have overcome their problem and it's quite amazing when you sit back and you can see what the child can do and realize their potential what is your potential how would you know unless you measure it we show you precisely what the potential is and how to target that and so you can provide that for your child [Music] you,48,2,1931,47,3,3,4
How To Increase Energy In Someone With ADHD,so rather than turning to energy drinks which are loaded with all sorts of chemicals outside of caffeine or overdoing it on things like coffee a nice way to increase energy in someone with ADHD would be eleanine eleanine is a natural amino acid it is calming and focusing but for a person with ADHD can also provide a nice amount of energy if you combine that with some B vitamins and ideally bouts of exercise throughout the day that is a good way of keeping energy level up,1132,34,27810,33,2,2,4
How ADHD leads to intense focus | Andrew Huberman x Joe rogan,if you look at kids or adults with ADHD like true attention deficit disorder or hyperactivity disorder you don't always have the hyperactivity what you find is they can focus really well if it's on something they like so a kid with ADD or ADHD that loves video games that kid will play video games with laser focus for 3 hours that sounds like me but then you put them in front of something they don't want to do and they just can't anchor their discipline they just don't have the discipline that also sounds like me,3001,56,96108,25,3,1,2
ADULT ADHD Symptoms Diagnosis Dr Rajiv Psychiatrist हिंदी में #adhd #adultadhd #mentalhealth,"If someone is having addiction inability to stick with a job, unable to mantain relationships, gets irritated, impulsive behavior, loses temper easily, these could be symptoms of ADHD. Interrupting others when talking, unable to wait for his/her turn, fidgeting, inattention symptoms, make silly mistakes, inability for sustained attention, unable to follow instructions, disorganized, short attention span, forgetfulness in daily activities, all these can be symptoms of ADHD",829,35,28363,57,3,1,2
Can ADHD Be Treated Holistically? 💊,can add be treated without medication the answer is yes add can be addressed holistically through a number of different strategies including exercise especially cardio enhancing blood flow to the front of your brain helps with Focus number two supplements things like Omega-3s phosphoserine ashwagandha jinsang riola but also neuro feedback can be very helpful neuro feedback allows us to train electrical activity in our brain which helps enhance Focus lastly behavioral strategies setting up your workspace to serve you as opposed to distract you,590,7,8208,43,5,1,1
What’s the deal with ADHD and skin picking? | Experts Answer,"What's the deal with ADHD and skin picking? Well, skin picking, along with nail biting, nose picking, cheek biting, hair pulling, are collectively known as the body focused repetitive behaviors, or BFRBs. It's a mouthful. Having ADHD absolutely places someone at higher risk for BFRBs. Now, it's not really a surprise as to why. BFRBs are associated with individuals who seek those behaviors to achieve self-soothing, grounding. Sometimes people engage in those behaviors mindlessly, as almost a fidget, whether they're playing with their hair, and then it might result in pulling their hair, or picking at their cuticles, or biting their nails, all of which affect people with ADHD. Studies have also shown that these behaviors can create a dopamine response in the brain, and we know how the ADHD brain craves that dopamine. There are many successful strategies and mindful strategies that can help people with these conditions, so that they don't have to get in your way.",2485,87,32603,59,5,1,1
